video_id,image_id,phase
1,63,0
1,77,0
1,88,0
1,89,0
1,76,0
1,62,0
1,74,0
1,60,0
1,48,0
1,149,0
1,161,0
1,160,0
1,148,0
1,49,0
1,61,0
1,75,0
1,59,0
1,71,0
1,65,0
1,158,0
1,159,0
1,64,0
1,70,0
1,58,0
1,8,0
1,66,0
1,72,0
1,99,0
1,98,0
1,73,0
1,67,0
1,9,0
1,14,0
1,28,0
1,129,0
1,101,0
1,115,0
1,114,0
1,100,0
1,128,0
1,29,0
1,15,0
1,17,0
1,116,0
1,102,0
1,103,0
1,117,0
1,16,0
1,12,0
1,113,0
1,107,0
1,106,0
1,112,0
1,13,0
1,39,0
1,11,0
1,104,0
1,110,0
1,138,0
1,139,0
1,111,0
1,105,0
1,10,0
1,38,0
1,21,0
1,35,0
1,108,0
1,120,0
1,134,0
1,135,0
1,121,0
1,109,0
1,34,0
1,20,0
1,36,0
1,22,0
1,137,0
1,123,0
1,122,0
1,136,0
1,23,0
1,37,0
1,33,0
1,27,0
1,132,0
1,126,0
1,127,0
1,133,0
1,26,0
1,32,0
1,18,0
1,24,0
1,30,0
1,125,0
1,131,0
1,119,0
1,118,0
1,130,0
1,124,0
1,31,0
1,25,0
1,19,0
1,42,0
1,4,0
1,56,0
1,81,0
1,95,0
1,143,0
1,157,0
1,156,0
1,142,0
1,94,0
1,80,0
1,5,0
1,57,0
1,43,0
1,55,0
1,7,0
1,41,0
1,69,0
1,96,0
1,82,0
1,154,0
1,140,0
1,141,0
1,155,0
1,83,0
1,97,0
1,68,0
1,40,0
1,54,0
1,6,0
1,78,0
1,2,0
1,50,0
1,44,0
1,151,0
1,145,0
1,93,0
1,87,0
1,86,0
1,92,0
1,144,0
1,150,0
1,45,0
1,3,0
1,51,0
1,79,0
1,47,0
1,53,0
1,1,0
1,146,0
1,152,0
1,84,0
1,90,0
1,91,0
1,85,0
1,153,0
1,147,0
1,52,0
1,46,0
1,823,1
1,189,1
1,837,1
1,638,1
1,604,1
1,162,1
1,176,1
1,610,1
1,1179,1
1,1151,1
1,1145,1
1,348,1
1,360,1
1,406,1
1,1192,1
1,1186,1
1,412,1
1,374,1
1,599,1
1,228,1
1,214,1
1,572,1
1,566,1
1,200,1
1,957,1
1,943,1
1,1227,1
1,1233,1
1,994,1
1,758,1
1,980,1
1,770,1
1,764,1
1,765,1
1,771,1
1,981,1
1,759,1
1,995,1
1,1232,1
1,1226,1
1,942,1
1,956,1
1,567,1
1,201,1
1,215,1
1,573,1
1,229,1
1,598,1
1,413,1
1,1187,1
1,375,1
1,361,1
1,1193,1
1,407,1
1,349,1
1,1144,1
1,1150,1
1,1178,1
1,177,1
1,611,1
1,605,1
1,163,1
1,639,1
1,188,1
1,836,1
1,822,1
1,834,1
1,820,1
1,808,1
1,613,1
1,175,1
1,607,1
1,388,1
1,1146,1
1,1152,1
1,439,1
1,377,1
1,1185,1
1,411,1
1,405,1
1,1191,1
1,363,1
1,559,1
1,203,1
1,565,1
1,571,1
1,217,1
1,940,1
1,798,1
1,954,1
1,1218,1
1,1230,1
1,968,1
1,1224,1
1,983,1
1,997,1
1,767,1
1,773,1
1,772,1
1,766,1
1,996,1
1,982,1
1,1225,1
1,969,1
1,1231,1
1,1219,1
1,955,1
1,799,1
1,941,1
1,570,1
1,216,1
1,202,1
1,564,1
1,558,1
1,1190,1
1,404,1
1,362,1
1,376,1
1,410,1
1,1184,1
1,438,1
1,1153,1
1,1147,1
1,389,1
1,606,1
1,612,1
1,174,1
1,809,1
1,821,1
1,835,1
1,819,1
1,831,1
1,825,1
1,170,1
1,616,1
1,602,1
1,164,1
1,1143,1
1,1157,1
1,399,1
1,1180,1
1,414,1
1,372,1
1,366,1
1,400,1
1,1194,1
1,428,1
1,560,1
1,206,1
1,212,1
1,574,1
1,548,1
1,979,1
1,1235,1
1,1221,1
1,945,1
1,1209,1
1,951,1
1,789,1
1,762,1
1,776,1
1,986,1
1,992,1
1,993,1
1,987,1
1,777,1
1,763,1
1,788,1
1,950,1
1,1208,1
1,944,1
1,1220,1
1,1234,1
1,978,1
1,549,1
1,213,1
1,575,1
1,561,1
1,207,1
1,429,1
1,367,1
1,1195,1
1,401,1
1,415,1
1,1181,1
1,373,1
1,398,1
1,1156,1
1,1142,1
1,603,1
1,165,1
1,171,1
1,617,1
1,824,1
1,830,1
1,818,1
1,198,1
1,826,1
1,832,1
1,167,1
1,601,1
1,615,1
1,173,1
1,629,1
1,1154,1
1,1140,1
1,1168,1
1,403,1
1,1197,1
1,365,1
1,371,1
1,1183,1
1,417,1
1,359,1
1,588,1
1,1008,1
1,577,1
1,211,1
1,205,1
1,563,1
1,239,1
1,1222,1
1,952,1
1,946,1
1,775,1
1,761,1
1,749,1
1,991,1
1,985,1
1,984,1
1,990,1
1,748,1
1,760,1
1,774,1
1,947,1
1,953,1
1,1223,1
1,238,1
1,204,1
1,562,1
1,576,1
1,210,1
1,1009,1
1,589,1
1,358,1
1,370,1
1,416,1
1,1182,1
1,1196,1
1,402,1
1,364,1
1,1169,1
1,1141,1
1,1155,1
1,628,1
1,614,1
1,172,1
1,166,1
1,600,1
1,833,1
1,199,1
1,827,1
1,698,1
1,840,1
1,854,1
1,868,1
1,883,1
1,897,1
1,667,1
1,673,1
1,1132,1
1,459,1
1,465,1
1,303,1
1,317,1
1,471,1
1,288,1
1,539,1
1,511,1
1,277,1
1,263,1
1,505,1
1,934,1
1,920,1
1,908,1
1,713,1
1,707,1
1,706,1
1,712,1
1,909,1
1,921,1
1,935,1
1,262,1
1,504,1
1,510,1
1,276,1
1,538,1
1,289,1
1,316,1
1,470,1
1,464,1
1,302,1
1,458,1
1,1133,1
1,672,1
1,666,1
1,896,1
1,882,1
1,869,1
1,855,1
1,841,1
1,699,1
1,857,1
1,843,1
1,894,1
1,880,1
1,658,1
1,670,1
1,664,1
1,499,1
1,1131,1
1,328,1
1,472,1
1,314,1
1,300,1
1,466,1
1,248,1
1,506,1
1,260,1
1,274,1
1,512,1
1,923,1
1,937,1
1,738,1
1,704,1
1,710,1
1,711,1
1,705,1
1,739,1
1,936,1
1,922,1
1,275,1
1,513,1
1,507,1
1,261,1
1,249,1
1,301,1
1,467,1
1,473,1
1,315,1
1,329,1
1,1130,1
1,498,1
1,665,1
1,671,1
1,659,1
1,881,1
1,895,1
1,842,1
1,856,1
1,852,1
1,846,1
1,675,1
1,661,1
1,891,1
1,649,1
1,885,1
1,1134,1
1,488,1
1,311,1
1,477,1
1,463,1
1,305,1
1,339,1
1,265,1
1,503,1
1,517,1
1,271,1
1,259,1
1,926,1
1,932,1
1,701,1
1,715,1
1,729,1
1,728,1
1,714,1
1,700,1
1,933,1
1,927,1
1,258,1
1,516,1
1,270,1
1,264,1
1,502,1
1,338,1
1,462,1
1,304,1
1,310,1
1,476,1
1,489,1
1,1135,1
1,884,1
1,648,1
1,890,1
1,660,1
1,674,1
1,847,1
1,853,1
1,879,1
1,845,1
1,689,1
1,851,1
1,662,1
1,676,1
1,886,1
1,892,1
1,1137,1
1,306,1
1,460,1
1,474,1
1,312,1
1,448,1
1,299,1
1,272,1
1,514,1
1,500,1
1,266,1
1,528,1
1,919,1
1,931,1
1,925,1
1,716,1
1,702,1
1,703,1
1,717,1
1,924,1
1,930,1
1,918,1
1,529,1
1,501,1
1,267,1
1,273,1
1,515,1
1,298,1
1,449,1
1,475,1
1,313,1
1,307,1
1,461,1
1,1136,1
1,893,1
1,887,1
1,677,1
1,663,1
1,850,1
1,688,1
1,844,1
1,878,1
1,861,1
1,875,1
1,685,1
1,691,1
1,849,1
1,646,1
1,652,1
1,487,1
1,493,1
1,478,1
1,444,1
1,322,1
1,336,1
1,450,1
1,295,1
1,281,1
1,518,1
1,530,1
1,256,1
1,242,1
1,524,1
1,915,1
1,901,1
1,929,1
1,732,1
1,726,1
1,727,1
1,733,1
1,928,1
1,900,1
1,914,1
1,243,1
1,525,1
1,531,1
1,257,1
1,519,1
1,280,1
1,294,1
1,337,1
1,451,1
1,445,1
1,323,1
1,479,1
1,492,1
1,486,1
1,653,1
1,647,1
1,848,1
1,690,1
1,684,1
1,874,1
1,860,1
1,876,1
1,862,1
1,692,1
1,686,1
1,679,1
1,889,1
1,651,1
1,645,1
1,1138,1
1,490,1
1,484,1
1,309,1
1,453,1
1,335,1
1,321,1
1,447,1
1,282,1
1,296,1
1,269,1
1,527,1
1,241,1
1,255,1
1,533,1
1,902,1
1,916,1
1,719,1
1,725,1
1,731,1
1,730,1
1,724,1
1,718,1
1,917,1
1,903,1
1,254,1
1,532,1
1,526,1
1,240,1
1,268,1
1,297,1
1,283,1
1,320,1
1,446,1
1,452,1
1,334,1
1,308,1
1,485,1
1,491,1
1,1139,1
1,644,1
1,650,1
1,888,1
1,678,1
1,687,1
1,693,1
1,863,1
1,877,1
1,697,1
1,683,1
1,873,1
1,867,1
1,654,1
1,898,1
1,640,1
1,668,1
1,495,1
1,481,1
1,330,1
1,456,1
1,442,1
1,324,1
1,318,1
1,287,1
1,293,1
1,244,1
1,522,1
1,536,1
1,250,1
1,278,1
1,907,1
1,913,1
1,720,1
1,734,1
1,708,1
1,709,1
1,735,1
1,721,1
1,912,1
1,906,1
1,279,1
1,537,1
1,251,1
1,245,1
